Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_label,sentiment_score,PIX,Login/Autenticação,Performance,Interface/Usabilidade,Empréstimos/Crédito,Pagamentos/Boletos,Saldo/Extrato,Atendimento,Cadastro/Conta,Investimentos,Segurança,Notificações,Questões geográficas,Placas/Veículos,Outros
18,45f2e050-d587-4283-8274-0cfaa3996184,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não estou gostando desse aplicativo do banco tá travando demora pra abrir tava bom agora tá muito ruim vou cancelar minha conta só passou raiva não abre,1,0.0,24.6.2.0,11/07/2024 13:12,,,24.6.2.0,negative,0.943040132522583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,aed2c206-b88d-43ee-b9d8-e177fccde1e8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Por muitas vezes trava. Como nesse momento. Tenho que fazer pagamento e.nào.consigo.,4,0.0,,11/07/2024 11:55,,,,negative,0.8182764053344727,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
66,0aefb3ed-3c60-4f4f-bb81-2ac666a0d11e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Péssimo! Os boletos DDA não são excluídos após o pagamento mensal. Por conta disso fiz um pagamento em duplicidade.,2,23.0,24.4.2.0,11/07/2024 10:04,,,24.4.2.0,negative,0.9217475652694702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,c9767313-5623-48e6-b8f9-0cf2fccefa4b,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bota a opção de persona as cores o tema do app. Ou deixa todo vermelho. Está feito. Como vou compartilhar meu Pix não tem a opção. Deixa o app melhor pelo amor de Deus,2,0.0,24.4.2.0,11/07/2024 08:33,,,24.4.2.0,negative,0.8072283267974854,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,87f800ff-13c4-4252-baca-97f0cf69314f,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,O aplicativo não está funcionando só fica dizendo que a senha expirou e o aplicativo nem abre.,1,0.0,24.4.2.0,10/07/2024 22:36,,,24.4.2.0,negative,0.756010115146637,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
111,f163c7fb-977c-4b32-8720-c349f2c3c566,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não fecha. Que saco,2,0.0,24.4.2.0,10/07/2024 22:31,,,24.4.2.0,negative,0.9620850086212158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,bffa989b-a9e1-47eb-8e3e-873580318783,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,por q o APP tá horrível de abri,1,0.0,24.6.2.0,10/07/2024 22:27,,,24.6.2.0,negative,0.9444770216941832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,5be2f689-03ee-47bb-8837-97b6f5c340c9,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,péssimo,1,0.0,24.6.2.0,10/07/2024 19:43,,,24.6.2.0,negative,0.8811744451522827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,553fcb0e-ee07-4b4f-9e18-d164a5f28d88,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,banco horrível tenho é ódio,1,0.0,24.4.2.0,10/07/2024 19:42,,,24.4.2.0,negative,0.9589487910270692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,ae07a29b-8a55-41de-a95e-4210239ac846,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não consigo entrar na minha conta,1,0.0,24.6.2.0,10/07/2024 19:40,,,24.6.2.0,negative,0.7727315425872803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1e488c98-a299-4cdb-acd9-441c24952956,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ultimamente tá pior que os bancos digitais vive indisponível,1,0.0,24.4.2.0,10/07/2024 19:36,,,24.4.2.0,negative,0.9345749020576476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
147,fa8ec45d-b398-4fbb-b02b-ea0c0fa6fa66,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não estou conseguindo acessar a minha conta está horrível,3,0.0,24.6.2.0,10/07/2024 19:35,,,24.6.2.0,negative,0.9439395070075988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,c6913270-48bd-4488-8598-80fd38e6f5f6,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ruim demais,1,0.0,24.4.2.0,10/07/2024 19:35,,,24.4.2.0,negative,0.9516921043395996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
