Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_label,sentiment_score
0,a5443542-0724-4fce-ab6c-e29b378323d1,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Exatamente,5,0.0,24.4.2.0,11/07/2024 14:17,,,24.4.2.0,neutral,0.6378781795501709
3,d9eee916-e0c7-4c0e-a5fd-977b6839fa71,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ótimo ☺️,4,0.0,24.4.2.0,11/07/2024 14:09,,,24.4.2.0,positive,0.8459579348564148
5,6bcc0625-f17d-4c1a-a437-86cd4e07073a,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ótima,5,0.0,24.4.2.0,11/07/2024 14:01,,,24.4.2.0,positive,0.5493477582931519
6,a3d313af-6be3-4e79-b787-04cecedb7b1e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,muito eficiente,5,0.0,24.4.2.0,11/07/2024 14:00,,,24.4.2.0,positive,0.6850957274436951
7,853da04c-9d53-4e02-a320-554cb7d69331,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ótimo,5,0.0,24.4.2.0,11/07/2024 14:00,,,24.4.2.0,positive,0.5943111777305603
8,5f71840b-0495-4530-a9b1-01a7ff60dd0b,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Muito bom,4,0.0,24.4.2.0,11/07/2024 13:56,,,24.4.2.0,positive,0.8596934080123901
9,dcd18203-c8e5-4ef8-9095-d0da0b8946f5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom,5,0.0,24.4.2.0,11/07/2024 13:56,,,24.4.2.0,positive,0.39379629492759705
10,0d6fa195-19f8-40de-9959-651416ea8536,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ótimo,5,0.0,24.4.2.0,11/07/2024 13:46,,,24.4.2.0,positive,0.5943111777305603
11,c467030a-1a0f-4c27-b38e-324fd7c7d764,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bem dinâmica as operações através do aplicativo.,5,0.0,24.4.2.0,11/07/2024 13:46,,,24.4.2.0,positive,0.7969059348106384
12,b46e0508-4ce6-4463-abc9-b436c0a1816e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gostei muito do atendimento e na resolução do meu problema,5,0.0,24.4.2.0,11/07/2024 13:37,,,24.4.2.0,positive,0.879179835319519
14,1dfd342c-1371-41ed-a1ce-2fbc6f330a52,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ótimo,5,0.0,24.4.2.0,11/07/2024 13:34,,,24.4.2.0,positive,0.5943111777305603
17,13c38982-6974-4fc9-a33d-aaf74ed8d665,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom,5,0.0,24.6.2.0,11/07/2024 13:17,,,24.6.2.0,positive,0.39379629492759705
18,45f2e050-d587-4283-8274-0cfaa3996184,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não estou gostando desse aplicativo do banco tá travando demora pra abrir tava bom agora tá muito ruim vou cancelar minha conta só passou raiva não abre,1,0.0,24.6.2.0,11/07/2024 13:12,,,24.6.2.0,negative,0.943040132522583
20,57c5386c-6fbb-4191-a340-434adfa38206,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ótimo,5,0.0,24.4.2.0,11/07/2024 13:05,,,24.4.2.0,positive,0.5943111777305603
21,ae746ca8-ffa2-430d-ae24-eacc8f51d2e7,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Nenhuma,4,0.0,24.4.2.0,11/07/2024 13:04,,,24.4.2.0,neutral,0.4763481914997101
23,f17a576d-776a-46c0-8f88-945adf83cbf6,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,banco Santander ótimo de usar,5,0.0,24.4.2.0,11/07/2024 13:03,,,24.4.2.0,positive,0.8836456537246704
26,66255d19-021b-47ca-b05f-e8d197a68cc9,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,excelente 👏,5,0.0,23.5.5.1,11/07/2024 12:54,,,23.5.5.1,positive,0.8045278787612915
27,4d87baff-44a6-40d6-a0e4-74d6958e4687,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,achei o app muito bom de usar mas quero cartão com limite q eu não tenho,5,0.0,24.4.2.0,11/07/2024 12:47,,,24.4.2.0,neutral,0.46711739897727966
