content;score;PIX;Login/Autenticação;Performance;Interface/Usabilidade;Empréstimos/Crédito;Pagamentos/Boletos;Saldo/Extrato;Atendimento;Cadastro/Conta;Investimentos;Segurança;Notificações;Questões geográficas;Placas/Veículos;Tarifas/Cobranças;Outros;date;version;app_name;sentiment_label;reviewId
Este aplicativo está impedindo de eu abrir uma conta no Santander primeira que é sobrepor aos outros aplicativos depois quer vasculhar o celular da gente todo e tenho que autorizar outros empresas parceiros pode usar meus dados também com pode isso um absurdo esse aplicativo não tenho que autorizar isso e o aplicativo obriga a fazer se quiser usar ele o app então prefiro não abrir minha conta no Santander infelizmente;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;4ee7f6b3-f77b-4346-922a-480c63b562d7
você entra no aplicativo consta que tem saldo por exemplo r$ 700 você vai pagar uma conta e diz que não tem saldo, mas aí é que vem o problema na hora do atendimento, eu e acredito que 99% das pessoas não querem ser atendidas por robô com mensagens automáticas semi-prontas, isso é um saco, não conseguisse atendido e muito menos meu problema resolvido;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2026-01-03 14:09:42;25.9.1.3;Santander;negative;
minha conta tá bloqueada no meu celular, não consigo acessar, eu ligo para o número de telefone que fica no app e diz que o número está desativado.;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-05 16:33:52;25.9.1.3;Santander;negative;
Péssimo,o app está cheio de bugs;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 15:54:46;25.9.1.3;Santander;negative;
aplicativo complicado não consigo acessar minha conta corrente os outros bancos não dá problema;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 15:02:51;25.9.1.3;Santander;negative;
trava muito;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 14:54:33;4.74.0;Bradesco;negative;
gostaria de pedir que o app não usasse o cpf e nem guardasse obrigatoriamente os dados do login. Por mais segurança prefiro digitar Ag, Conta e senha. O cpf é facil encontrar em vazamentos pela internet. Vejo uma tentativa de simplificar o acesso que está diminuindo a segurança geral.;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2026-01-05 14:38:05;25.9.1.3;Santander;negative;
Péssimo serviço prestado! Colocam uma transportadora fuleira para fazer a entrega do cartão que nunca chega. Serviço Péssimo! Como um banco não tem controle da entrega? Nunca sabem de nada! PÉSSIMO!;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2026-01-05 13:46:08;25.9.1.3;Santander;negative;
não tô conseguindo abrir o app mesmo limpando o cache;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 13:07:19;25.9.1.3;Santander;negative;
por favor poderiam resolver esse problema no aplicativo Santander, na última avaliação reportei instabilidade ao abrir o aplicativo Santander, não consigo abrir o aplicativo, quando digito a senha e vou abrir a conta o aplicativo fecha, conversei com o suporte via chat e me disseram que era um problema no aplicativo e que seria resolvido, porém algum tempo depois o aplicativo voltou a fazer as mesmas coisas, hoje por exemplo já tentei abrir o aplicativo mais de 10 vezes e o aplicativo não abre;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-05 12:39:05;25.9.1.3;Santander;negative;
