Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_label,sentiment_score,functional_category
8,5f71840b-0495-4530-a9b1-01a7ff60dd0b,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Muito bom,4,0.0,24.4.2.0,2024-07-11 13:56:20,,,24.4.2.0;;;;,negative,0.678788959980011,Outros
9,dcd18203-c8e5-4ef8-9095-d0da0b8946f5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom,5,0.0,24.4.2.0,2024-07-11 13:56:08,,,24.4.2.0;;;;,negative,0.6140767931938171,Outros
12,b46e0508-4ce6-4463-abc9-b436c0a1816e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gostei muito do atendimento e na resolução do meu problema,5,0.0,24.4.2.0,2024-07-11 13:37:57,,,24.4.2.0;;;;,negative,0.5440124869346619,Atendimento
17,13c38982-6974-4fc9-a33d-aaf74ed8d665,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom,5,0.0,24.6.2.0,2024-07-11 13:17:56,,,24.6.2.0;;;;,negative,0.6140767931938171,Outros
18,45f2e050-d587-4283-8274-0cfaa3996184,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não estou gostando desse aplicativo do banco tá travando demora pra abrir tava bom agora tá muito ruim vou cancelar minha conta só passou raiva não abre,1,0.0,24.6.2.0,2024-07-11 13:12:35,,,24.6.2.0;;;;,negative,0.6251538395881653,Performance
27,4d87baff-44a6-40d6-a0e4-74d6958e4687,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,achei o app muito bom de usar mas quero cartão com limite q eu não tenho,5,0.0,24.4.2.0,2024-07-11 12:47:42,,,24.4.2.0;;;;,negative,0.4902252554893493,Empréstimos/Crédito
41,3b895904-0820-4949-9696-68826b246762,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom demais,5,0.0,24.4.2.0,2024-07-11 11:41:43,,,24.4.2.0;;;;,negative,0.4450653493404388,Outros
51,54b91bec-17b7-4234-a698-1bef883880f5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom de mais,5,0.0,24.4.2.0,2024-07-11 10:53:16,,,24.4.2.0;;;;,negative,0.7004128098487854,Outros
62,90995256-5a41-4014-937e-6edf99b0cf1b,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom.,4,0.0,24.4.2.0,2024-07-11 10:11:02,,,24.4.2.0;;;;,negative,0.7522002458572388,Outros
66,0aefb3ed-3c60-4f4f-bb81-2ac666a0d11e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Péssimo! Os boletos DDA não são excluídos após o pagamento mensal. Por conta disso fiz um pagamento em duplicidade.,2,23.0,24.4.2.0,2024-07-11 10:04:25,,,24.4.2.0;;;;,negative,0.5426700711250305,Pagamentos/Boletos
