Comunidade;Q1;Q2;Q3;Q4
Administração do Crédito Imobiliário;0;0;217;0
Arrecadação e Convênios;1;21;0;77
Box Cidadania Digital;0;10;0;0
Box Conta Digital;2;2;0;0
Box Crédito Comercial;5;0;4;0
Box Dados, CRM e Marketing Digital;15;0;0;0
Box Esteira Digital Operações;0;4;2;9
Box Esteira Digital Segurança;6;0;9;0
Box Gestão Arquivística;4;0;0;0
Box Moradia PF;52;0;88;0
Box Moradia Plataforma;12;0;29;0
Box Open Finance;0;13;4;20
Box Relacionamento Digital;42;37;0;43
Box Soluções Digitais e Remotas;2;0;0;0
Canais Físicos;10;0;21;59
Clientes;137;25;139;4
Cobrança e Operações Bancárias;50;76;8;0
Contratações e Logística;64;18;2;9
Crédito Comercial e Agronegócio;102;61;289;0
Câmbio, Investimentos e Mercado de Capitais;59;105;115;0
Dados (Big Data e Analytics);85;0;0;0
Depósitos e Captação;76;81;226;62
Estruturantes de TI;97;16;0;6
Financeiro e Controladoria;20;78;33;9
Fomento e Depósitos Judiciais;122;3;37;0
Fundos de Governo;227;4;5;0
Gestão de Identidade, Acesso e Antifraude;21;22;0;8
Habitação;3;0;67;0
Loterias e Canais Parceiros;9;0;29;131
Meios de Pagamento;58;251;3;68
Pessoas;58;83;30;0
Programas Sociais;20;0;87;31
Risco, Compliance e Adimplência;109;15;62;35
Seguridade;18;0;0;0
