Issue;BusinessCapability;Level;CapabilityType;BusinessValue;TotalEpisodes
Ausência de agência na cidade;Acesso Geográfico;2;Supporting;Low;1
Acesso ao atendimento online;Atendimento ao Cliente;2;Supporting;Medium;1
Atendimento;Atendimento ao Cliente;2;Supporting;Medium;1
Atendimento Automatizado Ineficiente;Atendimento ao Cliente;2;Supporting;Medium;1
Atendimento Telefônico;Atendimento ao Cliente;2;Supporting;Medium;1
Atendimento não resolve problemas;Atendimento ao Cliente;2;Supporting;Medium;1
Central de Atendimento via Telefone Fixo;Atendimento ao Cliente;2;Supporting;Medium;1
Chat de Suporte;Atendimento ao Cliente;2;Supporting;Medium;1
Dificuldade de Comunicação no Chat;Atendimento ao Cliente;2;Supporting;Medium;1
Falta de Suporte de Ajuda;Atendimento ao Cliente;2;Supporting;Medium;1
Falta de atendimento ao cliente;Atendimento ao Cliente;2;Supporting;Medium;1
Falta de suporte por meios de comunicação;Atendimento ao Cliente;2;Supporting;Medium;1
Frustração com Atendimento;Atendimento ao Cliente;2;Supporting;Medium;1
Suporte 24 horas;Atendimento ao Cliente;2;Supporting;Medium;1
Suporte Técnico Ineficiente;Atendimento ao Cliente;2;Supporting;Medium;1
Acesso a Contrato;Autenticação e Acesso;1;Core;High;1
Acesso a Saldo;Autenticação e Acesso;1;Core;High;1
Acesso ao Site pelo Celular;Autenticação e Acesso;1;Core;High;1
Acesso através do Playstore;Autenticação e Acesso;1;Core;High;1
Acesso com biometria pede senha;Autenticação e Acesso;1;Core;High;1
Erro ao Entrar na Conta;Autenticação e Acesso;1;Core;High;1
Mensagem com senha não recebida;Autenticação e Acesso;1;Core;High;1
Mudança de Senha do App;Autenticação e Acesso;1;Core;High;1
Não reconhece biometria;Autenticação e Acesso;1;Core;High;1
Problemas de Acesso;Autenticação e Acesso;1;Core;High;1
Problemas de Acesso ao Aplicativo;Autenticação e Acesso;1;Core;High;1
Problemas de Login;Autenticação e Acesso;1;Core;High;1
Extrato;Consulta de Saldo e Extrato;2;Core;High;1
Extrato do cartão borrado;Consulta de Saldo e Extrato;2;Core;High;1
Falta de Extrato da Poupança;Consulta de Saldo e Extrato;2;Core;High;1
Inconsistência de Saldo;Consulta de Saldo e Extrato;2;Core;High;1
Saldo borrado;Consulta de Saldo e Extrato;2;Core;High;1
Visualização de Extrato da Poupança;Consulta de Saldo e Extrato;2;Core;High;1
Cartão de crédito;Empréstimos e Crédito;2;Core;High;1
Função Crédito;Empréstimos e Crédito;2;Core;High;1
Liberação de Cartão de Crédito;Empréstimos e Crédito;2;Core;High;1
Limite de Crédito Insuficiente;Empréstimos e Crédito;2;Core;High;1
Problemas para Fazer Empréstimo;Empréstimos e Crédito;2;Core;High;1
Reativação da Função de Crédito do Cartão;Empréstimos e Crédito;2;Core;High;1
Refinanciamento;Empréstimos e Crédito;2;Core;High;1
