review_id;comentario;app_name;issue;business_capability;capability_level;capability_type;business_value
089eaf05237e8dbc4b5e8cea227fe245;Horrível muito Lento Demora para abrir fica dano erro;Santander;Erro ao abrir;Performance e Estabilidade;1.0;Supporting;High
089eaf05237e8dbc4b5e8cea227fe245;Horrível muito Lento Demora para abrir fica dano erro;Santander;Lentidão;Performance e Estabilidade;1.0;Supporting;High
0a26b97937aa85657062354d3e267745;Aplicativo não tá abrindo tá ruim 👎;Santander;Não abre o aplicativo;Performance e Estabilidade;1.0;Supporting;High
0d950fd2fce02699112b58bca0ce1aa5;O app já foi muito bom,mas ultimamente só vive com instabilidade, uma simples troca de data de fatura virou um incômodo, não consigo acessar o atendimento online, sempre trava ou reinicia durante uma transferência de pix.;Santander;Acesso ao atendimento online;Atendimento ao Cliente;2.0;Supporting;Medium
0d950fd2fce02699112b58bca0ce1aa5;O app já foi muito bom,mas ultimamente só vive com instabilidade, uma simples troca de data de fatura virou um incômodo, não consigo acessar o atendimento online, sempre trava ou reinicia durante uma transferência de pix.;Santander;Travas e reinícios durante transferência de PIX;Performance e Estabilidade;1.0;Supporting;High
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Acompanhamento pelo app;Empréstimos e Crédito;2.0;Core;High
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Cartão físico não chegou;Sem BusinessCapability;;;
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Inconsistência de dados com B3;Investimentos;2.0;Strategic;High
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Setor de investimento não atualizado;Investimentos;2.0;Strategic;High
20d9ed1a707da507dfc9d4e394c2bf71;O app está muito ruim. Uma eternidade para abrir e quando abre. Está me deixando em situações constrangedoras para fazer pagamento por Pix.;Santander;Performance;Performance e Estabilidade;1.0;Supporting;High
23089ea52e223f56247b3a31e563b814;PÉSSIMO! VOU SAIR DESSE BANCO, FICA MUDANDO A SENHA DO APP, SOU CLIENTE DESDE 1991. TCHAU;Santander;Insegurança em Relação ao Acesso;Segurança e Proteção;1.0;Core;High
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Insatisfação com a instituição;Interface e Experiência do Usuário;1.0;Supporting;Medium
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Mais de 15 minutos de espera sem atendimento;Atendimento ao Cliente;2.0;Supporting;Medium
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Não consigo acessar saldo;Consulta de Saldo e Extrato;2.0;Core;High
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Não consigo refinanciar;Empréstimos e Crédito;2.0;Core;High
316a3308d906b7f0f0976be800bc911a;Aplicativo de um banco consolidado não ter o modo escuro? É uma vergonha 🤣;Santander;Falta de Modo Escuro;Interface e Experiência do Usuário;1.0;Supporting;Medium
31ac74cc965ece96ad68d3edf53c9f51;você entra no aplicativo consta que tem saldo por exemplo r$ 700 você vai pagar uma conta e diz que não tem saldo, mas aí é que vem o problema na hora do atendimento, eu e acredito que 99% das pessoas não querem ser atendidas por robô com mensagens automáticas semi-prontas, isso é um saco, não conseguisse atendido e muito menos meu problema resolvido;Santander;Atendimento automatizado insatisfatório;Atendimento ao Cliente;2.0;Supporting;Medium
31ac74cc965ece96ad68d3edf53c9f51;você entra no aplicativo consta que tem saldo por exemplo r$ 700 você vai pagar uma conta e diz que não tem saldo, mas aí é que vem o problema na hora do atendimento, eu e acredito que 99% das pessoas não querem ser atendidas por robô com mensagens automáticas semi-prontas, isso é um saco, não conseguisse atendido e muito menos meu problema resolvido;Santander;Problema de atendimento ao cliente;Atendimento ao Cliente;2.0;Supporting;Medium
31ac74cc965ece96ad68d3edf53c9f51;você entra no aplicativo consta que tem saldo por exemplo r$ 700 você vai pagar uma conta e diz que não tem saldo, mas aí é que vem o problema na hora do atendimento, eu e acredito que 99% das pessoas não querem ser atendidas por robô com mensagens automáticas semi-prontas, isso é um saco, não conseguisse atendido e muito menos meu problema resolvido;Santander;Saldo não reconhecido;Consulta de Saldo e Extrato;2.0;Core;High
360cf62f45bc972edfc272485e550f41;Cada dia que passa, esse App fica pior, trava demais, tento entrar e fica só carregando e me fazendo perder tempo.;Santander;App trava;Performance e Estabilidade;1.0;Supporting;High
3a2f522b328c5cdbaa14ad6e86f9889f;O Aplicativo não se encontra visível no celular, algumas vezes, entro na conta através do Playstore.;Santander;Acesso através do Playstore;Autenticação e Acesso;1.0;Core;High
416d911c8fb7bda6036b7b6c37ceb6ec;esse aplicativo não tem transparência nenhuma quando a questão é guardar dinheiro pra poupar ou investir aí depois que vc guarda ele fala que não dá pra resgatar e que quando for resgatar perde parte do dinheiro faz o aplicativo perder a fama desse jeito;Santander;Falta de Transparência;Segurança e Proteção;1.0;Core;High
455e323df34b938099e62e26b0973df2;meu aplicativo de uns dois dias pra cá não está abrindo está super lento não abre de jeito nenhum me impossibilitando de fazer Pix e te mesmo de fazer pagamentos estarei cancelando minha conta;Santander;Cancelamento de conta;Gestão de Cadastro e Conta;2.0;Supporting;Medium
455e323df34b938099e62e26b0973df2;meu aplicativo de uns dois dias pra cá não está abrindo está super lento não abre de jeito nenhum me impossibilitando de fazer Pix e te mesmo de fazer pagamentos estarei cancelando minha conta;Santander;Impossibilidade de fazer PIX;Transferências PIX;2.0;Core;High
455e323df34b938099e62e26b0973df2;meu aplicativo de uns dois dias pra cá não está abrindo está super lento não abre de jeito nenhum me impossibilitando de fazer Pix e te mesmo de fazer pagamentos estarei cancelando minha conta;Santander;Impossibilidade de fazer pagamentos;Pagamentos e Boletos;2.0;Core;High
455e323df34b938099e62e26b0973df2;meu aplicativo de uns dois dias pra cá não está abrindo está super lento não abre de jeito nenhum me impossibilitando de fazer Pix e te mesmo de fazer pagamentos estarei cancelando minha conta;Santander;Lentidão;Performance e Estabilidade;1.0;Supporting;High
455e323df34b938099e62e26b0973df2;meu aplicativo de uns dois dias pra cá não está abrindo está super lento não abre de jeito nenhum me impossibilitando de fazer Pix e te mesmo de fazer pagamentos estarei cancelando minha conta;Santander;Não abre o aplicativo;Performance e Estabilidade;1.0;Supporting;High
4a70a175ac860083d6feaad96c844d47;já tem três dias que tento entra e o app só mostra a mensagem de mau funcionamento no app meu dinheiro tá travado porque meu cartão ainda não chegou;Santander;App não abre;Performance e Estabilidade;1.0;Supporting;High
4a70a175ac860083d6feaad96c844d47;já tem três dias que tento entra e o app só mostra a mensagem de mau funcionamento no app meu dinheiro tá travado porque meu cartão ainda não chegou;Santander;Dinheiro travado;Performance e Estabilidade;1.0;Supporting;High
5077650e15e8efc1e788d1ca8281b00f;trava toda hora tava no posto não consegui pagar a gasolina horrível;Santander;App trava;Performance e Estabilidade;1.0;Supporting;High
5166107284028c8b77ad0493c11c4d13;App dando erro pra acessar conta;Santander;Erro ao acessar conta;Gestão de Cadastro e Conta;2.0;Supporting;Medium
525bb5800e63a02ed3834fefef1791e2;INACREDITÁVEL o aplicativo que era pra facilitar não gera o boleto para pagamento. O banco não enviou no e-mail, nem por SMS e não consigo gerar o boleto pelo app e quando tento entrar no site pelo celular ele pede pra entrar no app, o número da central de atendimento só por fixo, quem tem telefone fixo hoje em dia???? TUDO é por celular, e invés de facilitar a vida o banco dificulta! além que o link que me mandaram na resposta da avaliação não abre... JA TO SEM PACIÊNCIA PRA VCS!;Santander;Acesso ao site pede para entrar no app;Autenticação e Acesso;1.0;Core;High
525bb5800e63a02ed3834fefef1791e2;INACREDITÁVEL o aplicativo que era pra facilitar não gera o boleto para pagamento. O banco não enviou no e-mail, nem por SMS e não consigo gerar o boleto pelo app e quando tento entrar no site pelo celular ele pede pra entrar no app, o número da central de atendimento só por fixo, quem tem telefone fixo hoje em dia???? TUDO é por celular, e invés de facilitar a vida o banco dificulta! além que o link que me mandaram na resposta da avaliação não abre... JA TO SEM PACIÊNCIA PRA VCS!;Santander;Central de atendimento apenas por telefone fixo;Atendimento ao Cliente;2.0;Supporting;Medium
525bb5800e63a02ed3834fefef1791e2;INACREDITÁVEL o aplicativo que era pra facilitar não gera o boleto para pagamento. O banco não enviou no e-mail, nem por SMS e não consigo gerar o boleto pelo app e quando tento entrar no site pelo celular ele pede pra entrar no app, o número da central de atendimento só por fixo, quem tem telefone fixo hoje em dia???? TUDO é por celular, e invés de facilitar a vida o banco dificulta! além que o link que me mandaram na resposta da avaliação não abre... JA TO SEM PACIÊNCIA PRA VCS!;Santander;Link não abre;Performance e Estabilidade;1.0;Supporting;High
525bb5800e63a02ed3834fefef1791e2;INACREDITÁVEL o aplicativo que era pra facilitar não gera o boleto para pagamento. O banco não enviou no e-mail, nem por SMS e não consigo gerar o boleto pelo app e quando tento entrar no site pelo celular ele pede pra entrar no app, o número da central de atendimento só por fixo, quem tem telefone fixo hoje em dia???? TUDO é por celular, e invés de facilitar a vida o banco dificulta! além que o link que me mandaram na resposta da avaliação não abre... JA TO SEM PACIÊNCIA PRA VCS!;Santander;Não envia boleto por e-mail ou SMS;Pagamentos e Boletos;2.0;Core;High
