review_id;comentario;app_name;issue;business_capability;capability_level;capability_type;business_value
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Cartão físico não chegou;Sem BusinessCapability;;;
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Fatura fechada;Performance e Estabilidade;1.0;Supporting;High
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Inconsistência de dados com B3;Investimentos;2.0;Strategic;High
2063d42a876bc40a4def35d662f301c3;Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;Santander;Setor de investimento não atualizado;Investimentos;2.0;Strategic;High
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Falta de acesso para consulta;Autenticação e Acesso;1.0;Core;High
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Longa espera sem atendimento;Atendimento ao Cliente;2.0;Supporting;Medium
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Não consigo acessar contrato;Performance e Estabilidade;1.0;Supporting;High
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Não consigo acessar saldo;Consulta de Saldo e Extrato;2.0;Core;High
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Não consigo refinanciar;Empréstimos e Crédito;2.0;Core;High
2b0966bcdb90be1a7cb1781246572696;péssimo,tenho consignado no Santander e não consigo acessar nada, nem saldo, nem contrato, nem refinanciar, vou levar para outra instituição. não acha nem um acesso para consulta, telefone péssimo, fiquei mais de 15 min espera sem atendimento;Santander;Transferência para outra instituição;Performance e Estabilidade;1.0;Supporting;High
