Comunidade;Sistema;count
Administração do Crédito Imobiliário;SIACI;217
Arrecadação e Convênios;SIACC;37
Arrecadação e Convênios;SIGTA;19
Arrecadação e Convênios;SICAP;18
Arrecadação e Convênios;SIARP;10
Arrecadação e Convênios;SIGMC;6
Box Cidadania Digital;SICTM;10
Box Conta Digital;SINBC;2
Box Conta Digital;SINBM;2
Box Crédito Comercial;SINCR;5
Box Crédito Comercial;SICCR;4
Box Dados, CRM e Marketing Digital;SIRMC;15
Box Esteira Digital Operações;SIMTR;9
Box Esteira Digital Operações;SINDA;4
Box Esteira Digital Operações;SIBKO;2
Box Esteira Digital Segurança;SIABM;9
Box Esteira Digital Segurança;SIGCN;5
Box Esteira Digital Segurança;SIIPC;1
Box Gestão Arquivística;SIGDD;4
Box Moradia PF;SIOPI;57
Box Moradia PF;SIAME;30
Box Moradia PF;SINCH;21
Box Moradia PF;SIMOV;15
Box Moradia PF;SIARG;7
Box Moradia Plataforma;SIGDU;29
Box Moradia Plataforma;SIMIL;6
Box Moradia Plataforma;SISME;6
Box Open Finance;SIDPN;15
Box Open Finance;SIBSA;12
Box Open Finance;SIOBA;5
Box Open Finance;SIINP;4
Box Open Finance;SIOBS;1
Box Relacionamento Digital;SIGCX;43
Box Relacionamento Digital;SINBC;37
Box Relacionamento Digital;SINBM;29
Box Relacionamento Digital;SIGOV;10
Box Relacionamento Digital;SIGBK;3
Box Soluções Digitais e Remotas;SISRA;2
Canais Físicos;SIPNC;21
Canais Físicos;SIAVL;18
Canais Físicos;SIMAA;12
Canais Físicos;SISAG;12
Canais Físicos;SITAE;10
Clientes;SISOU;108
Clientes;SIDIS;37
Clientes;SIAUD;26
Clientes;SICLI;18
Clientes;SIGMS;18
Cobrança e Operações Bancárias;SIGCB;37
Cobrança e Operações Bancárias;SISIB;27
Cobrança e Operações Bancárias;SITMA;14
Cobrança e Operações Bancárias;SITCS;12
Cobrança e Operações Bancárias;SICCP;10
Contratações e Logística;SICVE;20
Contratações e Logística;SIPGE;18
Contratações e Logística;SIRED;14
Contratações e Logística;SIEVJ;13
Contratações e Logística;SILIC;11
Crédito Comercial e Agronegócio;SIEMP;99
Crédito Comercial e Agronegócio;SIGEC;61
Crédito Comercial e Agronegócio;SIAPI;54
Crédito Comercial e Agronegócio;SIAPX;52
Crédito Comercial e Agronegócio;SICCR;52
Câmbio, Investimentos e Mercado de Capitais;SIIFX;52
Câmbio, Investimentos e Mercado de Capitais;SIEXC;44
Câmbio, Investimentos e Mercado de Capitais;SIGFA;37
Câmbio, Investimentos e Mercado de Capitais;SINAC;26
Câmbio, Investimentos e Mercado de Capitais;SIPDI;26
Dados (Big Data e Analytics);SILDC;85
Depósitos e Captação;SILCR;152
Depósitos e Captação;SID52;61
Depósitos e Captação;SIDMF;50
Depósitos e Captação;SIATR;42
Depósitos e Captação;SIDCE;31
Estruturantes de TI;SIGCT;46
Estruturantes de TI;SIPGC;15
Estruturantes de TI;SIGLM;11
Estruturantes de TI;SIMPF;10
Estruturantes de TI;SIBAR;8
Financeiro e Controladoria;SIMCN;20
Financeiro e Controladoria;SISFI;16
Financeiro e Controladoria;SICVR;14
Financeiro e Controladoria;SIAEF;12
Financeiro e Controladoria;SINAF;12
Fomento e Depósitos Judiciais;SIAPF;37
Fomento e Depósitos Judiciais;SIFES;33
Fomento e Depósitos Judiciais;SIAVO;32
Fomento e Depósitos Judiciais;SIGSJ;21
Fomento e Depósitos Judiciais;SIFPP;13
Fundos de Governo;SIFGD;33
Fundos de Governo;SISFG;25
Fundos de Governo;SIIFG;23
Fundos de Governo;SIDFG;17
Fundos de Governo;SICVS;15
Gestão de Identidade, Acesso e Antifraude;SIPER;17
Gestão de Identidade, Acesso e Antifraude;SIAAS;11
Gestão de Identidade, Acesso e Antifraude;SIAAF;8
Gestão de Identidade, Acesso e Antifraude;SISET;6
Gestão de Identidade, Acesso e Antifraude;SIPDC;5
Habitação;SIAOI;67
Habitação;SITAH;2
Habitação;SIFOB;1
Loterias e Canais Parceiros;SISPL;47
Loterias e Canais Parceiros;SILCE;44
Loterias e Canais Parceiros;SIMLO;40
Loterias e Canais Parceiros;SIGEL;29
Loterias e Canais Parceiros;SINEP;9
Meios de Pagamento;SIPCS;141
Meios de Pagamento;SISPI;53
Meios de Pagamento;SIACM;33
Meios de Pagamento;SICAC;22
Meios de Pagamento;SIINT;17
Pessoas;SIPGE;43
Pessoas;SISRH;40
Pessoas;SIASC;24
Pessoas;SIAGS;23
Pessoas;SIPON;15
Programas Sociais;SIPBS;44
Programas Sociais;SIABE;16
Programas Sociais;SIPAS;15
Programas Sociais;SISDE;15
Programas Sociais;SIBEC;14
Risco, Compliance e Adimplência;SIAPC;46
Risco, Compliance e Adimplência;SIACG;43
Risco, Compliance e Adimplência;SIARA;20
Risco, Compliance e Adimplência;SICOW;19
Risco, Compliance e Adimplência;SINAD;18
Seguridade;SIGPF;10
Seguridade;SIGTS;8
