content;score;date;version;app_name;sentiment_label;sentiment_score;PIX;Login/Autenticação;Performance;Interface/Usabilidade;Empréstimos/Crédito;Pagamentos/Boletos;Saldo/Extrato;Atendimento;Cadastro/Conta;Investimentos;Segurança;Notificações;Questões geográficas;Placas/Veículos;Tarifas/Cobranças;Outros
o aplicativo é um horror!!! Gente do céu!!! Faz dois meses que estou com ele e ele simplesmente não funciona em redes de wi-fi, só com dados móveis!!! Como assim? melhorem pelo amor de Deus. Eu SEMPRE tenho que desligar o wi-fi de onde quer que eu esteja e ficar conectada nos meus dados móveis pra conseguir acessar o app! Facilita nossa vida por favor??;1;2026-01-07 12:08:31;25.9.1.3;Santander;negative;0.9361412525177002;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"tá impossível falar com um atendente! eu ligo joga em um menu digital, ligação pra falar com um ""humano"" tá difícil, é só menu de resposta automática. vc clica em voltar a ligação ela nem chama já desliga, por favor retirem esse menu q aparece quando fazemos ligação, tudo que aparece lá já tem no aplicativo do banco, vocês devem ter algum problema na cabeça pra inventar algo assim, se eu quiser entro no aplicativo, se eu ligar é pq quero falar com um atendente.";1;2026-01-07 11:49:08;25.9.1.3;Santander;negative;0.8128975629806519;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Satisfeito;5;2026-01-07 11:46:57;25.9.1.3;Santander;negative;0.6222972273826599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
não vale apena ser clientes linha de crédito nunca existiu só pôder análise cheio falha;1;2026-01-07 11:32:04;25.9.1.3;Santander;negative;0.7151291966438293;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Difícil navegação. Interface não amigável.;2;2026-01-07 10:35:50;25.9.1.3;Santander;negative;0.8770780563354492;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
o app tá bonito com essa nova versão mas tá com problema no meu tá aparecendo o saldo da poupança na tela principal ao invés de aparecer o saldo da conta corrente..por favor me ajudem a corrigir isso já liguei até pro Santander mas nem eles resolveram.;5;2026-01-07 10:26:02;25.9.1.3;Santander;negative;0.8683601021766663;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
Aplicativo travando novamente! este aplicativo mesmo quando funciona já é lento em comparação aos de outros bancos.;1;2026-01-07 10:10:41;25.9.1.3;Santander;negative;0.8947588801383972;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Horrível! Não consigo acessar a minha conta! Já fiz várias tentativas e nada!;1;2026-01-07 08:56:08;25.9.1.3;Santander;negative;0.9304206371307372;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O app não é capaz de oferecer um simples extrato, pois ele consegue apenas listar as transações por dia, mas sem oferecer subtotais ou o saldo ao final de cada período, inútil para conferências.;1;2026-01-07 08:46:34;25.9.1.3;Santander;negative;0.8774716854095459;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
mil anos pra abrir o app,fora que as vezes fica fora;3;2026-01-07 08:17:58;25.9.1.3;Santander;negative;0.5503990054130554;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
