ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
22628945;Teste Funcional;Em Refinamento;RC029 - Risco Social, Ambiental e Climático;Manter Parâmetro BACEN Anexo_04 - Situação Sicor 1493650Manter Parâmetro do BACEN - Situação SICOR (Anexo 4);SIRSA;Risco, Compliance e Adimplência;Testes Funcionais;Q1;Iclea da Silva Bernardes;02/01/2025;;1
22629467;Defeito;Implantado;CI009 - NOVO FUNDO DE INVESTIMENTOS (SIGFA Shield-SQ-4);SIGFA | Erro - Processamento de Fundos - movimento rejeitado na etapa Converte Resgate  ;SIGFA;Câmbio, Investimentos e Mercado de Capitais;Testes Funcionais;Q3;Luiz Eduardo Cerrato Costa;02/01/2025;24/03/2025;1
22631892;Teste Funcional;Implantado;CI009 - NOVO FUNDO DE INVESTIMENTOS (SIGFA Shield-SQ-4);"[CEGTI] | SIGFA | HU 19177251 - Não exibiu os campos ""CPF/CNPJ"" e ""Produto"" no envio e recebimento do SID01";SIGFA;Câmbio, Investimentos e Mercado de Capitais;Testes Funcionais;Q3;Marcio Fernandes Alves;03/01/2025;19/02/2025;1
22632626;Teste Funcional;Implantado;CI009 - NOVO FUNDO DE INVESTIMENTOS (SIGFA Shield-SQ-4);[CEGTI] | SIGFA | HU 19177251 - Erro ao tentar cancelar um adiantamento no resgate;SIGFA;Câmbio, Investimentos e Mercado de Capitais;Testes Funcionais;Q3;Marcio Fernandes Alves;03/01/2025;19/02/2025;1
22633223;Defeito;Implantado;FD010 - SIAVO - Controle Proj e desembolsos do FGTS;SIAVO - GEAVO - Inconsistência exibição de Pendência Validada - Contratação da Proposta;SIAVO;Fomento e Depósitos Judiciais;Testes Funcionais;Q1;Ana Paula Hutter Carvalho;03/01/2025;21/01/2025;1
22634606;Teste Funcional;Implantado;FD010 - SIAVO - Controle Proj e desembolsos do FGTS;"SIAVO - [Acompanhamento de Obras] Exibição indevida da mensagem ""A operação não foi enquadrada em nenhum parâmetro do sistema""";SIAVO;Fomento e Depósitos Judiciais;Testes Funcionais;Q1;Angelica Rodrigues da Silva Gomes;06/01/2025;31/03/2025;1
22637683;Teste Funcional;Em Refinamento;RC029 - Risco Social, Ambiental e Climático;Parametrização Manual das Regras de Avaliações de RSAC definidas pelo BACEN - Tipo de Cliente (Anexo_05) - C3 Alterar um Tipo de Cliente (Anexo 5);SIRSA;Risco, Compliance e Adimplência;Testes Funcionais;Q1;Iclea da Silva Bernardes;07/01/2025;;1
22637902;Teste Funcional;Em Refinamento;RC029 - Risco Social, Ambiental e Climático;Parametrização Manual das Regras de Avaliações de RSAC definidas pelo BACEN - Tipo de Risco Social (Anexo_06) - C3 Alterar um Tipo de Risco Social (Anexo 6);SIRSA;Risco, Compliance e Adimplência;Testes Funcionais;Q1;Iclea da Silva Bernardes;07/01/2025;;1
22638097;Teste Funcional;Em Refinamento;RC029 - Risco Social, Ambiental e Climático;Parametrização Manual das Regras de Avaliações de RSAC definidas pelo BACEN - Tipo de Risco Social (Anexo_06) - C1 - Consultar Parâmetro do BACEN - Tipo de Risco Social (Anexo 6);SIRSA;Risco, Compliance e Adimplência;Testes Funcionais;Q1;Iclea da Silva Bernardes;07/01/2025;;1
22639658;Defeito;Implantado;CI009 - NOVO FUNDO DE INVESTIMENTOS (SIGFA Shield-SQ-4);SIGFA | Erro - Consultas - Informes Sintético PF e Sintético PJ - Erro inesperado na consulta;SIGFA;Câmbio, Investimentos e Mercado de Capitais;Testes Funcionais;Q3;Thiago Pereira Gonzalez;07/01/2025;19/02/2025;1
