ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
23095952;Defeito;Preparado;AI006 - Core e Adm. Fase Retorno e Recebimento;BPNNM - Liquidação: Queda no programa que trata a tela PDI;SIACI;Administração do Crédito Imobiliário;Sem Atuação da GEQTI;Q3;Luciana Batista Camatari;45777;;1
23095927;Defeito;Novo;CD006 - Cadastro Pessoas;SIISO - Ajuste para não exibir chave natural na url - aplicação online;SIISO;Clientes;Certificação;Q1;Silvana Maria Sales da Silva Diniz;45777;;1
23095856;Defeito;Preparado;CD037 - SAC;SISOU - SAC - DEFEITO - Falha na Resposta da Ocorrência;SISOU;Clientes;Sem Atuação da GEQTI;Q3;Carolina Salek Fiad Martinati;45777;;1
23095834;Defeito;Novo;;Defeito (PRD) Consulta Movimentações de Ativos Financeiros com Custódia Transferida (Erro) (Valor);SIIFX;Câmbio, Investimentos e Mercado de Capitais;Certificação;Q3;Tiago Guimaraes Barcelos;45777;;1
23095787;Defeito;Em Desenvolvimento;BR040 - Internet Banking 3;HU - Defeito - Apontamentos Novo Extrato - Piloto - PF/PJ - Mobile e Desktop;SINBC;Box Relacionamento Digital;Certificação;Q2;Monica Suely de Assuncao Sousa;45777;;1
23095751;Defeito;Novo;CL001 - Compras;Erro anexar Edital;SICVE;Contratações e Logística;Sem Atuação da GEQTI;Q1;Joana Darc Soares de Morais Rodrigues;45777;;1
23095725;Defeito;Novo;;Defeito (PRD) Relatório Movimentação de Ativos com Custódia Transferida (10/04/2025);SIIFX;Câmbio, Investimentos e Mercado de Capitais;Certificação;Q3;Tiago Guimaraes Barcelos;45777;;1
23095709;Defeito;Novo;;Defeito (PRD) Relatório Estoque de Ativos com Custódia Transferida (10/04/2025);SIIFX;Câmbio, Investimentos e Mercado de Capitais;Certificação;Q3;Tiago Guimaraes Barcelos;45777;;1
23095578;Defeito;Pronto;DC003 - Squad C - NSGD SP;SID08 -  Apresentação da composição de pacotes e cestas;SID08;Depósitos e Captação;Testes Funcionais;Q3;Vidiane Oliveira de Almeida;45777;;1
23095384;Defeito;Novo;LT016 - Refatoração SILCE;[PILOTO] - Erro ao salvar carrinho de aposta não efetivada com surpresinha da super 7;SILCE;Loterias e Canais Parceiros;Certificação;Q4;Thyago Nascimento de Paiva;45777;;1
