Comunidade;Sigla;Sistema
Fundos de Governo;SIOFG;Sistema de Obrigações Financeiras do Fundo de Garantia
Fundos de Governo;SIFGG;Sistema de Fundos Garantidores Caixa
Fundos de Governo;SIRFG;Sistema de Regularidade e Certificação do Fundo de Garantia
Fundos de Governo;SICMU;Sistema do Cadastro Nacional de Mutuários
Fundos de Governo;SISDC;Sistema Seguro DPVAT CAIXA
Fundos de Governo;SICFD;Canal FGTS Digital
Programas Sociais;SIPBS;Sistema de Cadastro de Estudantes do Programa Pé de Meia
Programas Sociais;SIPAS;Sistema de Pagamentos Sociais
Programas Sociais;SIPDM;Sistema Pé de Meia
Programas Sociais;SIFAM;Sistema De Aplicação Móvel para O Bolsa Familía
Programas Sociais;SIPAT;Sistema Aplicativo Caixa Trabalhador
Programas Sociais;SIPBF;Sistema de Painel do Bolsa Familia
Fomentos;SIFES;Sistema de Financiamento Estudantil
Fomentos;SIAVO;Plataforma Corporativa do Ativo do FGTS
Fomentos;SIGSJ;Projeto Dromos
Fomentos;SIJAD;SISTEMA ATUALIZADOR DE DEPÓSITOS JUDICIAIS
Estruturantes de TI;SIGLM;Sistema de Gestão de Limites
Estruturantes de TI;SIMTX;Novo Multicanal PMAC
Estruturantes de TI;SIB2B;Sistema Business to Business
Depósito e Captação;SILCR;Sistema de Limites de Crédito Rotativo
Depósito e Captação;SID01;Controle de Saldos e Lançamentos
Depósito e Captação;SID52;Sistema Consolidador de Lançamentos e Movimentações de Depósitos
Depósito e Captação;SIDEO;Sidec On line - Captação
Depósito e Captação;SIDMF;Sistema Demonstrativo de Movimentação Financeira
Depósito e Captação;SIATR;Sistema de Autoatendimento Reestruturado
Câmbio Investimentos e Mercados de Capitais;SINAC;Sistema de Negociação de Ações
Câmbio Investimentos e Mercados de Capitais;SIIFX;Sistema de Investimentos em Rendas
Câmbio Investimentos e Mercados de Capitais;SIGFA;Sistema de Gestão de Fundos e Aplicações
Cobrança e Operações Bancárias;SIMPR;Sistema Módulo Protesto de Títulos da Cobrança Bancária Caixa
Cobrança e Operações Bancárias;SIGCB;Sistema de Arrecadação, Convênios e Boletos
Cobrança e Operações Bancárias;SISIB;Sistema do Sigilo Bancário
Cobrança e Operações Bancárias;SICCP;Sistema de Compensação de Cheques e Outros Papéis
Arrecadação  e Convênios;SIACC PIX;Sistema de Agendamento de Compromissos de Cliente
Arrecadação  e Convênios;SITAX;Sistema Transacional de Arrecadações da Caixa
Arrecadação  e Convênios;SIGTA;Sistema de Gestão de Tributos e Arrecadação
Arrecadação  e Convênios;SIGMC;Sistema de Gerenciamento de Movimentação de Conta
Pessoas;SIMSC;Saúde Caixa (app)
Pessoas;SIASC;Saúde Caixa (WEB)
Pessoas;SIGMP;Sou Caixa app
Pessoas;SIGPM;Sou Caixa web
Pessoas;SIAGS;Sistema de Autogestão em Saúde
Loterias ;SISPL ;Sistema de Serviços de Processamentos Lotéricos
Loterias ;SILCE;Sistema de Loterias em Canais Eletrônicos
Loterias ;SIMLO;Sistema de Loterias em Dispositivos Móveis
Loterias ;SINEP;Sistema Expresso Parceiro CAIXA
Contratações e logística;SICLG;Sistema de contratações e logística ( portal de contratações ) 
Contratações e logística;SIRFO;Sistema de relacionamento com o fornecedor
Contratações e logística;SILIC;Sistema de licitações e contrações
Contratações e logística;SICVE;Sistema de compra e vendas CAIXA
Financeiro e controladoria ;n/a;n/a
Open Finance ;SIBSA;Sistema de Barramentos de Serviços e APIs
